x,y,error
0.00775194,0.00775194,2.9308e-08
0.0155039,0.00775194,5.85987e-08
0.0232558,0.00775194,8.78545e-08
0.0310078,0.00775194,1.17058e-07
0.0387597,0.00775194,1.46193e-07
0.0465116,0.00775194,1.7524e-07
0.0542636,0.00775194,2.04184e-07
0.0620155,0.00775194,2.33007e-07
0.0697674,0.00775194,2.61691e-07
0.0775194,0.00775194,2.9022e-07
0.0852713,0.00775194,3.18578e-07
0.0930233,0.00775194,3.46746e-07
0.100775,0.00775194,3.74708e-07
0.108527,0.00775194,4.02449e-07
0.116279,0.00775194,4.2995e-07
0.124031,0.00775194,4.57197e-07
0.131783,0.00775194,4.84172e-07
0.139535,0.00775194,5.10861e-07
0.147287,0.00775194,5.37246e-07
0.155039,0.00775194,5.63313e-07
0.162791,0.00775194,5.89046e-07
0.170543,0.00775194,6.14429e-07
0.178295,0.00775194,6.39448e-07
0.186047,0.00775194,6.64088e-07
0.193798,0.00775194,6.88334e-07
0.20155,0.00775194,7.12171e-07
0.209302,0.00775194,7.35587e-07
0.217054,0.00775194,7.58566e-07
0.224806,0.00775194,7.81095e-07
0.232558,0.00775194,8.03161e-07
0.24031,0.00775194,8.24751e-07
0.248062,0.00775194,8.45851e-07
0.255814,0.00775194,8.6645e-07
0.263566,0.00775194,8.86535e-07
0.271318,0.00775194,9.06094e-07
0.27907,0.00775194,9.25116e-07
0.286822,0.00775194,9.43589e-07
0.294574,0.00775194,9.61503e-07
0.302326,0.00775194,9.78846e-07
0.310078,0.00775194,9.95609e-07
0.317829,0.00775194,1.01178e-06
0.325581,0.00775194,1.02735e-06
0.333333,0.00775194,1.04232e-06
0.341085,0.00775194,1.05666e-06
0.348837,0.00775194,1.07038e-06
0.356589,0.00775194,1.08346e-06
0.364341,0.00775194,1.0959e-06
0.372093,0.00775194,1.1077e-06
0.379845,0.00775194,1.11883e-06
0.387597,0.00775194,1.1293e-06
0.395349,0.00775194,1.1391e-06
0.403101,0.00775194,1.14823e-06
0.410853,0.00775194,1.15667e-06
0.418605,0.00775194,1.16443e-06
0.426357,0.00775194,1.1715e-06
0.434109,0.00775194,1.17787e-06
0.44186,0.00775194,1.18354e-06
0.449612,0.00775194,1.18852e-06
0.457364,0.00775194,1.19278e-06
0.465116,0.00775194,1.19634e-06
0.472868,0.00775194,1.19919e-06
0.48062,0.00775194,1.20133e-06
0.488372,0.00775194,1.20276e-06
0.496124,0.00775194,1.20347e-06
0.503876,0.00775194,1.20347e-06
0.511628,0.00775194,1.20276e-06
0.51938,0.00775194,1.20133e-06
0.527132,0.00775194,1.19919e-06
0.534884,0.00775194,1.19634e-06
0.542636,0.00775194,1.19278e-06
0.550388,0.00775194,1.18852e-06
0.55814,0.00775194,1.18354e-06
0.565891,0.00775194,1.17787e-06
0.573643,0.00775194,1.1715e-06
0.581395,0.00775194,1.16443e-06
0.589147,0.00775194,1.15667e-06
0.596899,0.00775194,1.14823e-06
0.604651,0.00775194,1.1391e-06
0.612403,0.00775194,1.1293e-06
0.620155,0.00775194,1.11883e-06
0.627907,0.00775194,1.1077e-06
0.635659,0.00775194,1.0959e-06
0.643411,0.00775194,1.08346e-06
0.651163,0.00775194,1.07038e-06
0.658915,0.00775194,1.05666e-06
0.666667,0.00775194,1.04232e-06
0.674419,0.00775194,1.02735e-06
0.682171,0.00775194,1.01178e-06
0.689922,0.00775194,9.95609e-07
0.697674,0.00775194,9.78846e-07
0.705426,0.00775194,9.61503e-07
0.713178,0.00775194,9.43589e-07
0.72093,0.00775194,9.25116e-07
0.728682,0.00775194,9.06094e-07
0.736434,0.00775194,8.86535e-07
0.744186,0.00775194,8.6645e-07
0.751938,0.00775194,8.45851e-07
0.75969,0.00775194,8.24751e-07
0.767442,0.00775194,8.03161e-07
0.775194,0.00775194,7.81095e-07
0.782946,0.00775194,7.58566e-07
0.790698,0.00775194,7.35587e-07
0.79845,0.00775194,7.12171e-07
0.806202,0.00775194,6.88334e-07
0.813953,0.00775194,6.64088e-07
0.821705,0.00775194,6.39448e-07
0.829457,0.00775194,6.14429e-07
0.837209,0.00775194,5.89046e-07
0.844961,0.00775194,5.63313e-07
0.852713,0.00775194,5.37246e-07
0.860465,0.00775194,5.10861e-07
0.868217,0.00775194,4.84172e-07
0.875969,0.00775194,4.57197e-07
0.883721,0.00775194,4.2995e-07
0.891473,0.00775194,4.02449e-07
0.899225,0.00775194,3.74708e-07
0.906977,0.00775194,3.46746e-07
0.914729,0.00775194,3.18578e-07
0.922481,0.00775194,2.9022e-07
0.930233,0.00775194,2.61691e-07
0.937984,0.00775194,2.33007e-07
0.945736,0.00775194,2.04184e-07
0.953488,0.00775194,1.7524e-07
0.96124,0.00775194,1.46193e-07
0.968992,0.00775194,1.17058e-07
0.976744,0.00775194,8.78545e-08
0.984496,0.00775194,5.85987e-08
0.992248,0.00775194,2.9308e-08
0.00775194,0.0155039,5.85987e-08
