i,x,y
0,0.0015625,0.0015625
1,0.003125,0.003125
2,0.0046875,0.0046875
3,0.00625,0.00625
4,0.0078125,0.0078125
5,0.009375,0.009375
6,0.0109375,0.0109375
7,0.0125,0.0125
8,0.0140625,0.0140625
9,0.015625,0.015625
10,0.0171875,0.0171875
11,0.01875,0.01875
12,0.0203125,0.0203125
13,0.021875,0.021875
14,0.0234375,0.0234375
15,0.025,0.025
16,0.0265625,0.0265625
17,0.028125,0.028125
18,0.0296875,0.0296875
19,0.03125,0.03125
20,0.0328125,0.0328125
21,0.034375,0.034375
22,0.0359375,0.0359375
23,0.0375,0.0375
24,0.0390625,0.0390625
25,0.040625,0.040625
26,0.0421875,0.0421875
27,0.04375,0.04375
28,0.0453125,0.0453125
29,0.046875,0.046875
30,0.0484375,0.0484375
31,0.05,0.05
32,0.0515625,0.0515625
33,0.053125,0.053125
34,0.0546875,0.0546875
35,0.05625,0.05625
36,0.0578125,0.0578125
37,0.059375,0.059375
38,0.0609375,0.0609375
39,0.0625,0.0625
40,0.0640625,0.0640625
41,0.065625,0.065625
42,0.0671875,0.0671875
43,0.06875,0.06875
44,0.0703125,0.0703125
45,0.071875,0.071875
46,0.0734375,0.0734375
47,0.075,0.075
48,0.0765625,0.0765625
49,0.078125,0.078125
50,0.0796875,0.0796875
51,0.08125,0.08125
52,0.0828125,0.0828125
53,0.084375,0.084375
54,0.0859375,0.0859375
55,0.0875,0.0875
56,0.0890625,0.0890625
57,0.090625,0.090625
58,0.0921875,0.0921875
59,0.09375,0.09375
60,0.0953125,0.0953125
61,0.096875,0.096875
62,0.0984375,0.0984375
63,0.1,0.1
64,0.101562,0.101563
65,0.103125,0.103125
66,0.104688,0.104688
67,0.10625,0.10625
68,0.107813,0.107813
69,0.109375,0.109375
70,0.110938,0.110938
71,0.1125,0.1125
72,0.114063,0.114063
73,0.115625,0.115625
74,0.117188,0.117188
75,0.11875,0.11875
76,0.120313,0.120313
77,0.121875,0.121875
78,0.123438,0.123438
79,0.125,0.125
80,0.126562,0.126563
81,0.128125,0.128125
82,0.129688,0.129688
83,0.13125,0.13125
84,0.132812,0.132813
85,0.134375,0.134375
86,0.135938,0.135938
87,0.1375,0.1375
88,0.139063,0.139063
89,0.140625,0.140625
