i,x,y
0,0.0015625,0.000652451
1,0.003125,0.00130348
2,0.0046875,0.00195308
3,0.00625,0.00260126
4,0.0078125,0.003248
5,0.009375,0.00389331
6,0.0109375,0.00453719
7,0.0125,0.00517964
8,0.0140625,0.00582064
9,0.015625,0.0064602
10,0.0171875,0.00709832
11,0.01875,0.007735
12,0.0203125,0.00837022
13,0.021875,0.009004
14,0.0234375,0.00963632
15,0.025,0.0102672
16,0.0265625,0.0108966
17,0.028125,0.0115246
18,0.0296875,0.012151
19,0.03125,0.0127761
20,0.0328125,0.0133996
21,0.034375,0.0140217
22,0.0359375,0.0146424
23,0.0375,0.0152615
24,0.0390625,0.0158792
25,0.040625,0.0164954
26,0.0421875,0.0171101
27,0.04375,0.0177233
28,0.0453125,0.0183351
29,0.046875,0.0189454
30,0.0484375,0.0195541
31,0.05,0.0201614
32,0.0515625,0.0207672
33,0.053125,0.0213715
34,0.0546875,0.0219743
35,0.05625,0.0225756
36,0.0578125,0.0231754
37,0.059375,0.0237737
38,0.0609375,0.0243705
39,0.0625,0.0249657
40,0.0640625,0.0255595
41,0.065625,0.0261517
42,0.0671875,0.0267425
43,0.06875,0.0273317
44,0.0703125,0.0279193
45,0.071875,0.0285055
46,0.0734375,0.0290901
47,0.075,0.0296732
48,0.0765625,0.0302548
49,0.078125,0.0308349
50,0.0796875,0.0314134
51,0.08125,0.0319903
52,0.0828125,0.0325657
53,0.084375,0.0331396
54,0.0859375,0.033712
55,0.0875,0.0342827
56,0.0890625,0.034852
57,0.090625,0.0354197
58,0.0921875,0.0359858
59,0.09375,0.0365503
60,0.0953125,0.0371134
61,0.096875,0.0376748
62,0.0984375,0.0382347
63,0.1,0.038793
64,0.101562,0.0393497
65,0.103125,0.0399049
66,0.104688,0.0404585
67,0.10625,0.0410105
68,0.107813,0.0415609
69,0.109375,0.0421098
70,0.110938,0.042657
71,0.1125,0.0432027
72,0.114063,0.0437468
73,0.115625,0.0442893
74,0.117188,0.0448302
75,0.11875,0.0453695
